Signal Name,Data
BT_TX,0A
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,82
BT_TX,3
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,0
BT_TX,0B
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,C2
BT_TX,4
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,51
BT_TX,1
BT_RX,0C
BT_RX,0
BT_RX,0
BT_RX,D3
BT_RX,2
BT_RX,5
BT_RX,0
BT_RX,1
BT_RX,0
BT_RX,0
BT_RX,51
BT_RX,1
BT_TX,0A
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,82
BT_TX,3
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,0
BT_TX,0B
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,C2
BT_TX,4
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,61
BT_TX,1
BT_RX,0C
BT_RX,0
BT_RX,0
BT_RX,D3
BT_RX,2
BT_RX,5
BT_RX,0
BT_RX,1
BT_RX,0
BT_RX,0
BT_RX,61
BT_RX,1
BT_TX,0A
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,82
BT_TX,3
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,0
BT_TX,0B
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,C2
BT_TX,4
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,61
BT_TX,1
BT_RX,0C
BT_RX,0
BT_RX,0
BT_RX,D3
BT_RX,2
BT_RX,5
BT_RX,0
BT_RX,1
BT_RX,0
BT_RX,0
BT_RX,61
BT_RX,1
BT_TX,0A
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,82
BT_TX,3
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,0
BT_TX,0B
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,C2
BT_TX,4
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,71
BT_TX,1
BT_RX,0C
BT_RX,0
BT_RX,0
BT_RX,D3
BT_RX,2
BT_RX,5
BT_RX,0
BT_RX,1
BT_RX,0
BT_RX,0
BT_RX,71
BT_RX,1
BT_TX,0A
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,82
BT_TX,3
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,0
BT_TX,0B
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,C2
BT_TX,4
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,71
BT_TX,1
BT_RX,0C
BT_RX,0
BT_RX,0
BT_RX,D3
BT_RX,2
BT_RX,5
BT_RX,0
BT_RX,1
BT_RX,0
BT_RX,0
BT_RX,71
BT_RX,1
BT_TX,0A
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,82
BT_TX,3
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,0
BT_TX,0B
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,C2
BT_TX,4
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,71
BT_TX,1
BT_RX,0C
BT_RX,0
BT_RX,0
BT_RX,D3
BT_RX,2
BT_RX,5
BT_RX,0
BT_RX,1
BT_RX,0
BT_RX,0
BT_RX,71
BT_RX,1
BT_TX,0A
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,82
BT_TX,3
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,0
BT_TX,0B
BT_TX,0
BT_TX,0
BT_TX,D3
BT_TX,C2
BT_TX,4
BT_TX,0
BT_TX,1
BT_TX,0
BT_TX,11
BT_TX,2
BT_RX,14
BT_RX,0
BT_RX,0
BT_RX,D3
BT_RX,25
BT_RX,0D
BT_RX,0
BT_RX,11
BT_RX,2
